ITINERARI,SECCIO,LENGTH,SOURCETHM,X_MID,Y_MID,X_BEG,Y_BEG,Y_END,X_END,BUFF_DIST,ORIG_FID,_count,_sum,_mean
"7","6",665.24528591300,Itineraris.shp,402829.02407099999,4599881.69156999979,403140.54540000000,4599857.54810000025,4599927.39829999954,402549.99420000002,500.00000000000,"41",14210.000000000000000,89726.047842741012573,6.314289081121816
"8","1",457.33185063900,Itineraris.shp,492578.12771799997,4693973.28586999979,492735.99459999998,4693826.72939999960,4694051.09649999999,492416.37729999999,500.00000000000,"42",12004.000000000000000,19530.361100303009152,1.626987762437772
"8","2",478.94807055900,Itineraris.shp,492277.17875100003,4694232.57069000043,492416.37729999999,4694051.09649999999,4694459.61400000006,492213.17690000002,500.00000000000,"43",12584.000000000000000,24631.187279358506203,1.957341646484306
"8","3",478.92135267600,Itineraris.shp,492067.32553400000,4694608.31417000014,492213.17690000002,4694459.61400000006,4694728.43120000046,491876.62630000000,500.00000000000,"44",12492.000000000000000,32367.433216091245413,2.591052931163244
"8","4",487.64789115800,Itineraris.shp,491704.31811300002,4694893.50124999974,491876.62630000000,4694728.43120000046,4694965.49830000009,491586.64230000001,500.00000000000,"45",11915.000000000000000,39591.508410997688770,3.322829073520578
"8","5",520.68421970000,Itineraris.shp,491348.16190900002,4695066.45414999966,491586.64230000001,4694965.49830000009,4695212.09049999993,491140.02480000001,500.00000000000,"46",13010.000000000000000,52799.299138009548187,4.058362731591818
"8","6",355.07288743100,Itineraris.shp,490990.73867900000,4695305.36074000038,491140.02480000001,4695212.09049999993,4695320.04069999978,490830.99080000003,500.00000000000,"47",11337.000000000000000,53390.857343584299088,4.709434360376140
"9","1",539.29896259800,Itineraris.shp,496892.02736599999,4702301.02855999954,497033.88880000002,4702080.59769999981,4702537.79860000033,496775.65500000003,500.00000000000,"48",9476.000000000000000,132308.402527868747711,13.962473884325531
"9","2",480.46602857400,Itineraris.shp,496608.82569799997,4702705.03655000031,496775.65500000003,4702537.79860000033,4702793.91579999961,496396.77090000000,500.00000000000,"49",8518.000000000000000,113990.122272074222565,13.382263708860556
"9","3",470.81289150900,Itineraris.shp,496192.90019299998,4702911.61426999979,496396.77090000000,4702793.91579999961,4703007.69950000010,495981.90340000001,500.00000000000,"50",9580.000000000000000,119961.635596096515656,12.522091398339928
"9","4",511.83724408500,Itineraris.shp,495773.17827799998,4703108.58332999982,495981.90340000001,4703007.69950000010,4703084.95799999963,495518.35249999998,500.00000000000,"51",9002.000000000000000,102717.582985639572144,11.410529103048164
"9","5",505.08225528000,Itineraris.shp,495271.24828599999,4703038.07689999975,495518.35249999998,4703084.95799999963,4702965.36610000022,495029.40149999998,500.00000000000,"52",8084.000000000000000,86698.693707615137100,10.724727079121120
"9","6",528.99780696900,Itineraris.shp,494875.10209399997,4702754.44725999981,495029.40149999998,4702965.36610000022,4702630.93209999986,494656.86739999999,500.00000000000,"53",7351.000000000000000,78768.683509320020676,10.715369814898656
"10","1",478.78931935900,Itineraris.shp,304939.59373700002,4507726.34551999997,305131.77529999998,4507584.57699999958,4507872.44429999962,304750.77450000000,500.00000000000,"54",12645.000000000000000,4320.566268220543861,0.341681792662756
"10","2",521.89564001500,Itineraris.shp,304533.81575000001,4508017.43625000026,304750.77450000000,4507872.44429999962,4508162.42819999997,304316.85700000002,500.00000000000,"55",13081.000000000000000,5013.735866415780038,0.383283836588623
